Player 1,Player 2,Partnership Career Span,Partnership Career Start,Partnership Career End,Number Of Partnerships,Unbroken Partnerships,Total Partnership Runs,Highest Partnership,Avg Partnership Per Dismissal,Century Partnerships,Fifty Runs And Over Partnerships,Country
Mashrafe Mortaza, Sabbir Rahman,2014-2016,2014,2016,2,0,21,21,10.5,0,0,Bangladesh
Mushfiqur Rahim, Taskin Ahmed,2016-2016,2016,2016,1,1,21,21*,-,0,0,Bangladesh
Abdur Razzak, Nasir Hossain,2011-2014,2011,2014,3,0,20,17,6.66,0,0,Bangladesh
Mahmudullah, Mehidy Hasan Miraz,2017-2018,2017,2018,3,0,20,11,6.66,0,0,Bangladesh
Abdur Razzak, Sohag Gazi,2013-2013,2013,2013,2,1,19,16*,19,0,0,Bangladesh
Alok Kapali, Shakib Al Hasan,2007-2007,2007,2007,1,0,19,19,19,0,0,Bangladesh
Arafat Sunny, Sabbir Rahman,2014-2014,2014,2014,1,0,19,19,19,0,0,Bangladesh
Jahurul Islam, Shafiul Islam,2010-2010,2010,2010,1,0,19,19,19,0,0,Bangladesh
Mahedi Hasan, Mustafizur Rahman,2018-2018,2018,2018,1,0,19,19,19,0,0,Bangladesh
Mahmudullah, Taskin Ahmed,2016-2016,2016,2016,1,0,19,19,19,0,0,Bangladesh
Mominul Haque, Sohag Gazi,2013-2013,2013,2013,1,0,19,19,19,0,0,Bangladesh
Abu Hider, Arafat Sunny,2016-2016,2016,2016,1,0,18,18,18,0,0,Bangladesh
Alok Kapali, Farhad Reza,2007-2007,2007,2007,1,0,18,18,18,0,0,Bangladesh
Jahurul Islam, Mohammad Ashraful,2013-2013,2013,2013,1,0,18,18,18,0,0,Bangladesh
Mehidy Hasan Miraz, Mustafizur Rahman,2018-2018,2018,2018,1,1,18,18*,-,0,0,Bangladesh
Farhad Reza, Nasir Hossain,2011-2014,2011,2014,2,0,17,12,8.5,0,0,Bangladesh
Mohammad Ashraful, Naeem Islam,2010-2010,2010,2010,1,0,17,17,17,0,0,Bangladesh
Nasir Hossain, Rubel Hossain,2011-2014,2011,2014,2,1,17,16*,17,0,0,Bangladesh
Abdur Razzak, Mushfiqur Rahim,2007-2012,2007,2012,5,2,16,7*,5.33,0,0,Bangladesh
Arafat Sunny, Tamim Iqbal,2016-2016,2016,2016,1,1,16,16*,-,0,0,Bangladesh
Mashrafe Mortaza, Mosaddek Hossain,2017-2017,2017,2017,1,1,16,16*,-,0,0,Bangladesh
Mashrafe Mortaza, Raqibul Hasan,2009-2009,2009,2009,1,0,16,16,16,0,0,Bangladesh
Mushfiqur Rahim, Sohag Gazi,2013-2013,2013,2013,1,0,16,16,16,0,0,Bangladesh
Sabbir Rahman, Shuvagata Hom,2016-2016,2016,2016,1,0,16,16,16,0,0,Bangladesh
Sabbir Rahman, Taskin Ahmed,2018-2018,2018,2018,1,0,16,16,16,0,0,Bangladesh
Shakib Al Hasan, Shuvagata Hom,2016-2016,2016,2016,1,0,16,16,16,0,0,Bangladesh
Imrul Kayes, Shakib Al Hasan,2011-2016,2011,2016,2,0,15,11,7.5,0,0,Bangladesh
Liton Das, Mashrafe Mortaza,2015-2015,2015,2015,1,0,15,15,15,0,0,Bangladesh
Mahmudullah, Naeem Islam,2010-2010,2010,2010,1,0,15,15,15,0,0,Bangladesh
Nazmul Hossain, Rubel Hossain,2009-2009,2009,2009,1,1,15,15*,-,0,0,Bangladesh
Abul Hasan, Mashrafe Mortaza,2012-2012,2012,2012,1,0,14,14,14,0,0,Bangladesh
Sohag Gazi, Ziaur Rahman,2014-2014,2014,2014,1,0,14,14,14,0,0,Bangladesh
Abdur Razzak, Mahmudullah,2007-2007,2007,2007,1,0,13,13,13,0,0,Bangladesh
Alok Kapali, Mahmudullah,2007-2007,2007,2007,1,0,13,13,13,0,0,Bangladesh
Mushfiqur Rahim, Ziaur Rahman,2012-2013,2012,2013,2,0,13,13,6.5,0,0,Bangladesh
Abdur Razzak, Syed Rasel,2007-2007,2007,2007,2,0,12,10,6,0,0,Bangladesh
Aftab Ahmed, Farhad Reza,2007-2007,2007,2007,1,0,12,12,12,0,0,Bangladesh
Arafat Sunny, Rony Talukdar,2015-2015,2015,2015,1,0,12,12,12,0,0,Bangladesh
Farhad Reza, Mushfiqur Rahim,2007-2007,2007,2007,2,0,12,12,6,0,0,Bangladesh
Mahmudullah, Rubel Hossain,2018-2018,2018,2018,1,1,12,12*,-,0,0,Bangladesh
Mashrafe Mortaza, Shahadat Hossain,2006-2006,2006,2006,1,0,12,12,12,0,0,Bangladesh
Mehidy Hasan Miraz, Shakib Al Hasan,2018-2018,2018,2018,1,0,12,12,12,0,0,Bangladesh
Shakib Al Hasan, Ziaur Rahman,2012-2012,2012,2012,1,0,12,12,12,0,0,Bangladesh
Abu Hider, Mustafizur Rahman,2018-2018,2018,2018,2,0,11,11,5.5,0,0,Bangladesh
Jahurul Islam, Mushfiqur Rahim,2010-2010,2010,2010,1,0,11,11,11,0,0,Bangladesh
Mahmudullah, Mohammad Ashraful,2010-2012,2010,2012,3,0,11,6,3.66,0,0,Bangladesh
Mahmudullah, Nazmul Hossain,2009-2009,2009,2009,1,0,11,11,11,0,0,Bangladesh
Mashrafe Mortaza, Shuvagata Hom,2016-2016,2016,2016,1,0,11,11,11,0,0,Bangladesh
Mashrafe Mortaza, Tamim Iqbal,2016-2016,2016,2016,1,0,10,10,10,0,0,Bangladesh
Abul Hasan, Mahmudullah,2018-2018,2018,2018,1,0,9,9,9,0,0,Bangladesh
Abu Hider, Mushfiqur Rahim,2018-2018,2018,2018,1,1,9,9*,-,0,0,Bangladesh
Farhad Reza, Shakib Al Hasan,2006-2006,2006,2006,1,0,9,9,9,0,0,Bangladesh
Liton Das, Mehidy Hasan Miraz,2018-2018,2018,2018,1,0,9,9,9,0,0,Bangladesh
Mohammad Ashraful, Shamsur Rahman,2013-2013,2013,2013,1,0,9,9,9,0,0,Bangladesh
Mohammad Mithun, Mushfiqur Rahim,2016-2016,2016,2016,1,0,9,9,9,0,0,Bangladesh
Nurul Hasan, Rubel Hossain,2017-2017,2017,2017,3,2,9,6*,9,0,0,Bangladesh
Raqibul Hasan, Tamim Iqbal,2008-2008,2008,2008,1,0,9,9,9,0,0,Bangladesh
Anamul Haque, Arafat Sunny,2015-2015,2015,2015,1,0,8,8,8,0,0,Bangladesh
Anamul Haque, Mahmudullah,2015-2015,2015,2015,1,0,8,8,8,0,0,Bangladesh
Anamul Haque, Sohag Gazi,2014-2014,2014,2014,1,0,8,8,8,0,0,Bangladesh
Mashrafe Mortaza, Ziaur Rahman,2012-2012,2012,2012,1,0,8,8,8,0,0,Bangladesh
Raqibul Hasan, Shafiul Islam,2010-2010,2010,2010,1,0,8,8,8,0,0,Bangladesh
Ariful Haque, Mushfiqur Rahim,2018-2018,2018,2018,1,1,7,7*,-,0,0,Bangladesh
Liton Das, Sohag Gazi,2015-2015,2015,2015,1,0,7,7,7,0,0,Bangladesh
Mahmudullah, Nadif Chowdhury,2007-2007,2007,2007,1,0,7,7,7,0,0,Bangladesh
Mehidy Hasan Miraz, Nazmul Islam,2018-2018,2018,2018,1,0,7,7,7,0,0,Bangladesh
Mehrab Hossain jnr, Naeem Islam,2008-2008,2008,2008,1,0,7,7,7,0,0,Bangladesh
Mohammad Saifuddin, Shakib Al Hasan,2018-2018,2018,2018,1,0,7,7,7,0,0,Bangladesh
Mohammad Saifuddin, Taskin Ahmed,2017-2017,2017,2017,2,0,7,7,3.5,0,0,Bangladesh
Mominul Haque, Ziaur Rahman,2013-2013,2013,2013,1,0,7,7,7,0,0,Bangladesh
Mustafizur Rahman, Rubel Hossain,2017-2018,2017,2018,2,1,7,6*,7,0,0,Bangladesh
Abdur Razzak, Abul Hasan,2012-2012,2012,2012,1,0,6,6,6,0,0,Bangladesh
Abul Hasan, Elias Sunny,2012-2012,2012,2012,1,0,6,6,6,0,0,Bangladesh
Abu Jayed, Nazmul Islam,2018-2018,2018,2018,2,0,6,3,3,0,0,Bangladesh
Aftab Ahmed, Alok Kapali,2007-2007,2007,2007,2,1,6,6*,6,0,0,Bangladesh
Al-Amin Hossain, Mashrafe Mortaza,2013-2013,2013,2013,1,1,6,6*,-,0,0,Bangladesh
Al-Amin Hossain, Nasir Hossain,2014-2014,2014,2014,1,0,6,6,6,0,0,Bangladesh
Jahurul Islam, Mashrafe Mortaza,2010-2010,2010,2010,1,0,6,6,6,0,0,Bangladesh
Mehrab Hossain jnr, Shahadat Hossain,2008-2008,2008,2008,1,1,6,6*,-,0,0,Bangladesh
Mustafizur Rahman, Shuvagata Hom,2016-2016,2016,2016,2,0,6,6,3,0,0,Bangladesh
Nasir Hossain, Sabbir Rahman,2014-2014,2014,2014,1,0,6,6,6,0,0,Bangladesh
Nazmul Hossain, Raqibul Hasan,2010-2010,2010,2010,1,0,6,6,6,0,0,Bangladesh
Nazmul Islam, Rubel Hossain,2018-2018,2018,2018,2,0,6,5,3,0,0,Bangladesh
Abu Hider, Mashrafe Mortaza,2016-2016,2016,2016,1,0,5,5,5,0,0,Bangladesh
Abu Hider, Soumya Sarkar,2018-2018,2018,2018,1,0,5,5,5,0,0,Bangladesh
Abu Hider, Taskin Ahmed,2016-2016,2016,2016,1,0,5,5,5,0,0,Bangladesh
Al-Amin Hossain, Shuvagata Hom,2016-2016,2016,2016,1,0,5,5,5,0,0,Bangladesh
Elias Sunny, Ziaur Rahman,2012-2012,2012,2012,1,0,5,5,5,0,0,Bangladesh
Mahmudullah, Muktar Ali,2016-2016,2016,2016,1,0,5,5,5,0,0,Bangladesh
Raqibul Hasan, Shahadat Hossain,2010-2010,2010,2010,1,0,5,5,5,0,0,Bangladesh
Abdur Razzak, Ziaur Rahman,2012-2012,2012,2012,1,1,4,4*,-,0,0,Bangladesh
Anamul Haque, Mustafizur Rahman,2015-2015,2015,2015,1,0,4,4,4,0,0,Bangladesh
Farhad Reza, Nazimuddin,2008-2008,2008,2008,1,0,4,4,4,0,0,Bangladesh
Mahmudullah, Shuvagata Hom,2016-2016,2016,2016,2,0,4,4,2,0,0,Bangladesh
Mushfiqur Rahim, Shamsur Rahman,2013-2013,2013,2013,1,0,4,4,4,0,0,Bangladesh
Mustafizur Rahman, Taskin Ahmed,2018-2018,2018,2018,1,1,4,4*,-,0,0,Bangladesh
Nazmus Sadat, Shahriar Nafees,2006-2006,2006,2006,1,0,4,4,4,0,0,Bangladesh
Shamsur Rahman, Ziaur Rahman,2013-2013,2013,2013,1,0,4,4,4,0,0,Bangladesh
Abdur Razzak, Elias Sunny,2012-2012,2012,2012,1,1,3,3*,-,0,0,Bangladesh
Arafat Sunny, Mustafizur Rahman,2015-2015,2015,2015,2,0,3,2,1.5,0,0,Bangladesh
Imrul Kayes, Naeem Islam,2011-2011,2011,2011,1,0,3,3,3,0,0,Bangladesh
Jahurul Islam, Nasir Hossain,2012-2012,2012,2012,1,0,3,3,3,0,0,Bangladesh
Junaid Siddique, Mahmudullah,2009-2009,2009,2009,1,0,3,3,3,0,0,Bangladesh
Mahedi Hasan, Mohammad Saifuddin,2018-2018,2018,2018,1,0,3,3,3,0,0,Bangladesh
Mashrafe Mortaza, Nurul Hasan,2017-2017,2017,2017,1,0,3,3,3,0,0,Bangladesh
Mohammad Saifuddin, Shafiul Islam,2017-2017,2017,2017,1,0,3,3,3,0,0,Bangladesh
Mushfiqur Rahim, Syed Rasel,2007-2007,2007,2007,1,0,3,3,3,0,0,Bangladesh
Nazimuddin, Shakib Al Hasan,2008-2008,2008,2008,1,0,3,3,3,0,0,Bangladesh
Abdur Razzak, Mehrab Hossain jnr,2008-2008,2008,2008,1,0,2,2,2,0,0,Bangladesh
Anamul Haque, Mohammad Mithun,2014-2014,2014,2014,1,0,2,2,2,0,0,Bangladesh
Anamul Haque, Mominul Haque,2014-2014,2014,2014,1,0,2,2,2,0,0,Bangladesh
Dhiman Ghosh, Nazimuddin,2008-2008,2008,2008,1,0,2,2,2,0,0,Bangladesh
Elias Sunny, Shafiul Islam,2012-2012,2012,2012,1,0,2,2,2,0,0,Bangladesh
Mahmudullah, Mominul Haque,2013-2013,2013,2013,1,0,2,2,2,0,0,Bangladesh
Alok Kapali, Imrul Kayes,2011-2011,2011,2011,1,0,1,1,1,0,0,Bangladesh
Al-Amin Hossain, Mustafizur Rahman,2015-2015,2015,2015,1,1,1,1*,-,0,0,Bangladesh
Al-Amin Hossain, Sohag Gazi,2014-2014,2014,2014,1,0,1,1,1,0,0,Bangladesh
Anamul Haque, Imrul Kayes,2015-2015,2015,2015,1,0,1,1,1,0,0,Bangladesh
Anamul Haque, Mashrafe Mortaza,2015-2015,2015,2015,1,0,1,1,1,0,0,Bangladesh
Arafat Sunny, Liton Das,2015-2015,2015,2015,1,0,1,1,1,0,0,Bangladesh
Mahmudullah, Nazmul Islam,2018-2018,2018,2018,1,0,1,1,1,0,0,Bangladesh
Mehidy Hasan Miraz, Rubel Hossain,2018-2018,2018,2018,1,0,1,1,1,0,0,Bangladesh
Mushfiqur Rahim, Shahadat Hossain,2009-2009,2009,2009,1,1,1,1*,-,0,0,Bangladesh
Naeem Islam, Sohrawordi Shuvo,2010-2010,2010,2010,1,1,1,1*,-,0,0,Bangladesh
Nasir Hossain, Shafiul Islam,2011-2012,2011,2012,2,0,1,1,0.5,0,0,Bangladesh
Rubel Hossain, Taskin Ahmed,2018-2018,2018,2018,1,0,1,1,1,0,0,Bangladesh
Abdur Razzak, Shahadat Hossain,2008-2008,2008,2008,1,0,0,0,0,0,0,Bangladesh
Abu Jayed, Mustafizur Rahman,2018-2018,2018,2018,1,0,0,0,0,0,0,Bangladesh
Afif Hossain, Mushfiqur Rahim,2018-2018,2018,2018,1,0,0,0,0,0,0,Bangladesh
Aftab Ahmed, Mashrafe Mortaza,2007-2007,2007,2007,1,0,0,0,0,0,0,Bangladesh
Anamul Haque, Shamsur Rahman,2014-2014,2014,2014,1,0,0,0,0,0,0,Bangladesh
Ariful Haque, Mehidy Hasan Miraz,2018-2018,2018,2018,1,0,0,0,0,0,0,Bangladesh
Mahmudullah, Mustafizur Rahman,2018-2018,2018,2018,1,0,0,0,0,0,0,Bangladesh
Mominul Haque, Shakib Al Hasan,2014-2014,2014,2014,1,0,0,0,0,0,0,Bangladesh
Mosaddek Hossain, Soumya Sarkar,2018-2018,2018,2018,1,0,0,0,0,0,0,Bangladesh
Naeem Islam, Tamim Iqbal,2009-2009,2009,2009,1,0,0,0,0,0,0,Bangladesh
Nasir Hossain, Rony Talukdar,2015-2015,2015,2015,1,0,0,0,0,0,0,Bangladesh
Nasir Hossain, Sohag Gazi,2013-2013,2013,2013,1,0,0,0,0,0,0,Bangladesh
Rubel Hossain, Sabbir Rahman,2014-2014,2014,2014,1,0,0,0,0,0,0,Bangladesh
Rohan Mustafa, Shaiman Anwar,2014-2017,2014,2017,9,0,368,86,40.88,0,3,U.A.E.
Rameez Shahzad, Shaiman Anwar,2016-2018,2016,2018,7,1,343,109*,57.16,1,3,U.A.E.
Amjad Javed, Muhammad Usman,2016-2017,2016,2017,6,0,182,48,30.33,0,0,U.A.E.
Mohammad Shahzad, Shaiman Anwar,2015-2016,2015,2016,9,0,166,47,18.44,0,0,U.A.E.
Muhammad Usman, Shaiman Anwar,2016-2017,2016,2017,10,0,149,34,14.9,0,0,U.A.E.
Mohammad Shahzad, Muhammad Usman,2016-2017,2016,2017,5,1,135,79,33.75,0,1,U.A.E.
Muhammad Kaleem, Rohan Mustafa,2016-2016,2016,2016,7,0,130,83,18.57,0,1,U.A.E.
Khurram Khan, SP Patil,2014-2014,2014,2014,3,0,125,67,41.66,0,2,U.A.E.
Mohammad Shahzad, Muhammad Kaleem,2016-2016,2016,2016,5,0,109,86,21.8,0,1,U.A.E.
Amjad Javed, Mohammad Naveed,2015-2017,2015,2017,4,2,105,59*,52.5,0,1,U.A.E.
Muhammad Usman, Rameez Shahzad,2016-2017,2016,2017,2,0,104,100,52,1,0,U.A.E.
SP Patil, Shaiman Anwar,2015-2016,2015,2016,4,0,103,44,25.75,0,0,U.A.E.
Faizan Asif, Mohammad Shahzad,2015-2015,2015,2015,2,0,94,63,47,0,1,U.A.E.
Mohammad Shahzad, Rohan Mustafa,2016-2017,2016,2017,8,0,91,23,11.37,0,0,U.A.E.
Amjad Javed, SP Patil,2016-2016,2016,2016,2,0,78,40,39,0,0,U.A.E.
Ghulam Shabber, Shaiman Anwar,2016-2018,2016,2018,4,0,73,43,18.25,0,0,U.A.E.
Amjad Ali, Faizan Asif,2014-2015,2014,2015,3,0,68,35,22.66,0,0,U.A.E.
Amjad Javed, Rohan Mustafa,2014-2016,2014,2016,4,0,67,34,16.75,0,0,U.A.E.
Mohammed Qasim, Shaiman Anwar,2017-2017,2017,2017,1,0,62,62,62,0,1,U.A.E.
Ahmed Raza, Muhammad Usman,2016-2016,2016,2016,2,0,46,30,23,0,0,U.A.E.
Khurram Khan, Shaiman Anwar,2014-2014,2014,2014,2,0,43,42,21.5,0,0,U.A.E.
Mohammad Shahzad, SP Patil,2016-2016,2016,2016,2,0,37,19,18.5,0,0,U.A.E.
Amjad Javed, Saqlain Haider,2016-2016,2016,2016,1,0,36,36,36,0,0,U.A.E.
Amjad Javed, Shaiman Anwar,2014-2017,2014,2017,5,1,36,16,9,0,0,U.A.E.
Ghulam Shabber, Mohammad Naveed,2016-2018,2016,2018,2,0,36,35,18,0,0,U.A.E.
Amjad Gul, Rohan Mustafa,2015-2015,2015,2015,1,0,34,34,34,0,0,U.A.E.
Abdul Shakoor, Shaiman Anwar,2015-2015,2015,2015,1,0,33,33,33,0,0,U.A.E.
Mohammad Naveed, Shaiman Anwar,2016-2017,2016,2017,3,0,33,14,11,0,0,U.A.E.
Mohammad Naveed, Rohan Mustafa,2016-2017,2016,2017,3,0,29,24,9.66,0,0,U.A.E.
Shaiman Anwar, Usman Mushtaq,2016-2016,2016,2016,1,0,29,29,29,0,0,U.A.E.
Kamran Shazad, EHSN Silva,2014-2014,2014,2014,1,0,27,27,27,0,0,U.A.E.
Mohammad Naveed, Muhammad Usman,2016-2016,2016,2016,3,1,26,15*,13,0,0,U.A.E.
Mohammed Qasim, Rohan Mustafa,2016-2016,2016,2016,1,0,26,26,26,0,0,U.A.E.
Ahmed Raza, Mohammad Naveed,2016-2017,2016,2017,3,1,21,11,10.5,0,0,U.A.E.
Fahad Tariq, Mohammad Naveed,2016-2016,2016,2016,1,0,21,21,21,0,0,U.A.E.
Ahmed Raza, Amjad Javed,2014-2017,2014,2017,2,0,20,20,10,0,0,U.A.E.
Amjad Ali, Mohammad Shahzad,2015-2015,2015,2015,2,1,19,16,19,0,0,U.A.E.
Ghulam Shabber, Mohammed Qasim,2017-2017,2017,2017,1,1,19,19*,-,0,0,U.A.E.
Abdul Shakoor, Amjad Javed,2015-2015,2015,2015,1,0,17,17,17,0,0,U.A.E.
Abdul Shakoor, Fayyaz Ahmed,2015-2015,2015,2015,1,0,17,17,17,0,0,U.A.E.
Amjad Javed, Rameez Shahzad,2016-2016,2016,2016,1,0,17,17,17,0,0,U.A.E.
Chirag Suri, Rameez Shahzad,2018-2018,2018,2018,1,0,17,17,17,0,0,U.A.E.
Mohammad Naveed, Umair Ali,2015-2015,2015,2015,1,0,17,17,17,0,0,U.A.E.
Ahmed Raza, Qadeer Ahmed,2016-2016,2016,2016,2,2,16,16*,-,0,0,U.A.E.
Saqlain Haider, Shaiman Anwar,2016-2016,2016,2016,1,0,16,16,16,0,0,U.A.E.
V Shetty, EHSN Silva,2014-2014,2014,2014,1,0,16,16,16,0,0,U.A.E.
Adnan Mufti, Ghulam Shabber,2017-2017,2017,2017,1,1,14,14*,-,0,0,U.A.E.
Mohammad Naveed, Qadeer Ahmed,2016-2016,2016,2016,1,0,14,14,14,0,0,U.A.E.
Muhammad Usman, SP Patil,2016-2016,2016,2016,2,0,14,14,7,0,0,U.A.E.
Amjad Ali, Shaiman Anwar,2015-2015,2015,2015,1,0,13,13,13,0,0,U.A.E.
Amjad Javed, EHSN Silva,2014-2014,2014,2014,1,0,13,13,13,0,0,U.A.E.
Amjad Ali, Khurram Khan,2014-2014,2014,2014,2,0,12,11,6,0,0,U.A.E.
Farhan Ahmed, Muhammad Usman,2016-2016,2016,2016,1,0,12,12,12,0,0,U.A.E.
Abdul Shakoor, Mohammad Naveed,2015-2015,2015,2015,1,0,11,11,11,0,0,U.A.E.
Faizan Asif, Shaiman Anwar,2014-2015,2014,2015,2,0,11,7,5.5,0,0,U.A.E.
Muhammad Usman, Rohan Mustafa,2016-2016,2016,2016,1,0,11,11,11,0,0,U.A.E.
Adnan Mufti, Rameez Shahzad,2017-2017,2017,2017,1,0,10,10,10,0,0,U.A.E.
Muhammad Usman, Qadeer Ahmed,2016-2016,2016,2016,1,0,10,10,10,0,0,U.A.E.
Amjad Javed, Umair Ali,2015-2015,2015,2015,1,0,9,9,9,0,0,U.A.E.
Mohammed Qasim, Muhammad Usman,2017-2017,2017,2017,1,0,9,9,9,0,0,U.A.E.
Muhammad Kaleem, Shaiman Anwar,2016-2016,2016,2016,2,0,9,9,4.5,0,0,U.A.E.
Muhammad Usman, Saqlain Haider,2016-2016,2016,2016,1,0,9,9,9,0,0,U.A.E.
SP Patil, Saqlain Haider,2016-2016,2016,2016,1,0,9,9,9,0,0,U.A.E.
Amjad Gul, Rameez Shahzad,2016-2016,2016,2016,1,0,8,8,8,0,0,U.A.E.
Rohan Mustafa, V Shetty,2014-2014,2014,2014,1,1,8,8*,-,0,0,U.A.E.
Amjad Ali, SP Patil,2015-2015,2015,2015,1,0,7,7,7,0,0,U.A.E.
Mohammad Naveed, Usman Mushtaq,2016-2016,2016,2016,1,1,7,7*,-,0,0,U.A.E.
Muhammad Kaleem, Muhammad Usman,2016-2016,2016,2016,2,0,7,7,3.5,0,0,U.A.E.
Abdul Shakoor, SP Patil,2015-2015,2015,2015,2,0,6,3,3,0,0,U.A.E.
Ahmed Raza, Shaiman Anwar,2016-2017,2016,2017,2,0,6,5,3,0,0,U.A.E.
Ghulam Shabber, Mohammad Shahzad,2017-2017,2017,2017,1,0,6,6,6,0,0,U.A.E.
Ahmed Raza, Muhammed Shanil,2016-2016,2016,2016,1,1,5,5*,-,0,0,U.A.E.
Amjad Gul, Shaiman Anwar,2016-2016,2016,2016,1,0,5,5,5,0,0,U.A.E.
Amjad Javed, Mohammad Tauqir,2015-2015,2015,2015,1,0,5,5,5,0,0,U.A.E.
Mohammad Naveed, Saqlain Haider,2016-2016,2016,2016,1,1,5,5*,-,0,0,U.A.E.
SP Patil, Umair Ali,2015-2015,2015,2015,1,0,5,5,5,0,0,U.A.E.
Abdul Shakoor, Umair Ali,2015-2015,2015,2015,2,1,4,4*,4,0,0,U.A.E.
Fahad Tariq, Shaiman Anwar,2016-2016,2016,2016,2,0,4,4,2,0,0,U.A.E.
Mohammad Naveed, Zaheer Maqsood,2016-2016,2016,2016,1,0,3,3,3,0,0,U.A.E.
Mohammad Tauqir, Umair Ali,2015-2015,2015,2015,1,1,3,3*,-,0,0,U.A.E.
SP Patil, Usman Mushtaq,2016-2016,2016,2016,1,0,3,3,3,0,0,U.A.E.
Amjad Javed, Khurram Khan,2014-2014,2014,2014,1,0,2,2,2,0,0,U.A.E.
Amjad Javed, V Shetty,2014-2014,2014,2014,1,0,2,2,2,0,0,U.A.E.
Fahad Tariq, Muhammad Usman,2016-2016,2016,2016,2,0,2,1,1,0,0,U.A.E.
Fahad Tariq, Rohan Mustafa,2016-2016,2016,2016,1,0,2,2,2,0,0,U.A.E.
AM Guruge, Mohammad Naveed,2015-2015,2015,2015,1,0,2,2,2,0,0,U.A.E.
SP Patil, Rohan Mustafa,2014-2016,2014,2016,2,0,2,1,1,0,0,U.A.E.
Rohan Mustafa, L Sreekumar,2017-2017,2017,2017,1,0,2,2,2,0,0,U.A.E.
Amjad Ali, Rohan Mustafa,2014-2014,2014,2014,1,0,1,1,1,0,0,U.A.E.
Faizan Asif, Khurram Khan,2014-2014,2014,2014,1,0,1,1,1,0,0,U.A.E.
AM Guruge, Kamran Shazad,2014-2014,2014,2014,1,0,1,1,1,0,0,U.A.E.
AM Guruge, EHSN Silva,2014-2014,2014,2014,1,1,1,1*,-,0,0,U.A.E.
Kamran Shazad, V Shetty,2014-2014,2014,2014,1,0,1,1,1,0,0,U.A.E.
Muhammad Kaleem, SP Patil,2016-2016,2016,2016,1,0,1,1,1,0,0,U.A.E.
Ashfaq Ahmed, Chirag Suri,2018-2018,2018,2018,1,0,0,0,0,0,0,U.A.E.
Chirag Suri, Rohan Mustafa,2018-2018,2018,2018,1,0,0,0,0,0,0,U.A.E.
Ghulam Shabber, Rohan Mustafa,2017-2017,2017,2017,1,0,0,0,0,0,0,U.A.E.
Mohammad Naveed, Muhammed Shanil,2016-2016,2016,2016,1,0,0,0,0,0,0,U.A.E.
Mohammad Shahzad, Rameez Shahzad,2017-2017,2017,2017,1,0,0,0,0,0,0,U.A.E.
WTS Porterfield, PR Stirling,2009-2018,2009,2018,40,3,1065,109*,28.78,1,6,Ireland
NJ O'Brien, WTS Porterfield,2008-2016,2008,2016,15,1,439,59,31.35,0,4,Ireland
KJ O'Brien, GC Wilson,2009-2018,2009,2018,25,0,380,53,15.2,0,2,Ireland
WTS Porterfield, GC Wilson,2008-2018,2008,2018,15,1,250,37,17.85,0,0,Ireland
KJ O'Brien, NJ O'Brien,2008-2016,2008,2016,9,0,204,58,22.66,0,3,Ireland
EC Joyce, GC Wilson,2012-2014,2012,2014,7,0,201,55,28.71,0,3,Ireland
EC Joyce, KJ O'Brien,2012-2014,2012,2014,6,2,183,47,45.75,0,0,Ireland
A Balbirnie, GC Wilson,2015-2018,2015,2018,4,0,176,91,44,0,1,Ireland
SW Poynter, PR Stirling,2016-2017,2016,2017,5,0,167,78,33.4,0,1,Ireland
PR Stirling, GC Wilson,2012-2018,2012,2018,6,1,161,80,32.2,0,1,Ireland
EC Joyce, PR Stirling,2012-2014,2012,2014,8,0,157,33,19.62,0,0,Ireland
NJ O'Brien, GC Wilson,2008-2016,2008,2016,11,0,156,33,14.18,0,0,Ireland
KJ O'Brien, PR Stirling,2010-2018,2010,2018,9,0,144,36,16,0,0,Ireland
EC Joyce, WTS Porterfield,2012-2014,2012,2014,4,0,136,80,34,0,1,Ireland
WTS Porterfield, SR Thompson,2015-2018,2015,2018,5,0,134,82,26.8,0,1,Ireland
KJ O'Brien, AD Poynter,2014-2016,2014,2016,3,0,133,101,44.33,1,0,Ireland
EC Joyce, AD Poynter,2012-2014,2012,2014,4,0,127,58,31.75,0,1,Ireland
DT Johnston, JF Mooney,2009-2013,2009,2013,8,2,119,35*,19.83,0,0,Ireland
KJ O'Brien, WTS Porterfield,2008-2017,2008,2017,11,1,118,45,11.8,0,0,Ireland
JF Mooney, GC Wilson,2009-2012,2009,2012,6,1,117,32,23.4,0,0,Ireland
JNK Shannon, PR Stirling,2018-2018,2018,2018,5,0,115,58,23,0,1,Ireland
JF Mooney, KJ O'Brien,2009-2015,2009,2015,6,2,112,49*,28,0,0,Ireland
DT Johnston, GC Wilson,2008-2013,2008,2013,7,0,109,41,15.57,0,0,Ireland
PR Stirling, SR Thompson,2017-2018,2017,2018,6,0,109,65,18.16,0,1,Ireland
A Balbirnie, PR Stirling,2015-2018,2015,2018,5,0,101,51,20.2,0,1,Ireland
L Tucker, GC Wilson,2017-2017,2017,2017,2,0,95,53,47.5,0,1,Ireland
AR Cusack, NJ O'Brien,2008-2010,2008,2010,4,0,94,49,23.5,0,0,Ireland
JF Mooney, AR White,2009-2010,2009,2010,4,1,92,27,30.66,0,0,Ireland
AC Botha, NJ O'Brien,2008-2008,2008,2008,2,0,89,51,44.5,0,1,Ireland
AC Botha, GC Wilson,2008-2010,2008,2010,4,0,86,42,21.5,0,0,Ireland
